[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-italic.woff2" [Client 192.168.88.20] [Length 15280] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-700.woff2" [Client 192.168.88.20] [Length 15764] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-600.woff2" [Client 192.168.88.20] [Length 15948] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-600italic.woff2" [Client 192.168.88.20] [Length 15296] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/icheck-bootstrap.min.css" [Client 192.168.88.20] [Length 1597] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/api.php?summary" [Client 192.168.88.20] [Length 485] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/api.php?overTimeData10mins" [Client 192.168.88.20] [Length 105] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/api_db.php?status" [Client 192.168.88.20] [Length 19] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:12 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/api.php?summary" [Client 192.168.88.20] [Length 485] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:13 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/api.php?summary" [Client 192.168.88.20] [Length 485] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
