[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/toolbar-close.png" [Client 192.168.88.20] [Length 1542] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/toolbar-start.png" [Client 192.168.88.20] [Length 1116] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/toolbar-pause.png" [Client 192.168.88.20] [Length 700] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/toolbar-start-all.png" [Client 192.168.88.20] [Length 1556] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/wrench.png" [Client 192.168.88.20] [Length 242] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 409 409 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 581] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/compact.png" [Client 192.168.88.20] [Length 148] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/settings.png" [Client 192.168.88.20] [Length 201] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/toolbar-pause-all.png" [Client 192.168.88.20] [Length 935] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/arrow-down.png" [Client 192.168.88.20] [Length 144] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
